Operadora (Operator);Satélite (Satellite);Código do Direito (Code);Posição Orbital (Orbital slot);Banda do satélite exercendo o direito (Satellite Band);Tipo de Direito (Type of landing right);Status;Data de lançamento (Launch date);Validade (Validity);Direito prorrogado (Landing right postponed);posicao_orb_docs_portal_decimal
ABS SINGAPORE SATELLITE PTE. LTD.;ABS-3A;-3KuC;3ºO;Ku (não planejada);Estrangeiro;operação comercial;03/01/2015;23/12/2030;SIM;-3
ABS SINGAPORE SATELLITE PTE. LTD.;ABS-3A;-3KuC;3ºO;C (não planejada);Estrangeiro;operação comercial;03/01/2015;23/12/2030;SIM;-3
COMSAT, INC;INMARSAT-4 F3;-98L;98ºO;L;Estrangeiro;operação comercial;18/08/2008;16/09/2025;NÃO;-98
DIRECTV LATIN AMERICA LLC;SKY-B1;-43,1KuKu30B;43,1ºO;Ku (AP30B);Estrangeiro;operação comercial;01/02/2017;28/03/2032;NÃO;-43,1
DIRECTV LATIN AMERICA LLC;SKY-B1;-43,1KuKu30B;43,1ºO;Ku (não planejada);Estrangeiro;operação comercial;01/02/2017;28/03/2032;NÃO;-43,1
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EUTELSAT 65 West A;-65Ku;65ºO;Ku (não planejada);Brasileiro;operação comercial;09/03/2016;06/03/2033;SIM;-65
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;-63C;63ºO;N/D;Brasileiro;N/D;03/02/1998;31/12/2025;SIM;-63
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;-68C;68ºO;N/D;Brasileiro;N/D;a ser lançado;31/12/2025;SIM;-68
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;-92CKu;92ºO;C (não planejada);Brasileiro;operação comercial;13/11/2007;13/11/2022;NÃO;-92
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C2;-65CX;65ºO;X;Brasileiro;operação comercial;17/04/2008;31/12/2025;SIM;-65
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C2;-65Ku;65ºO;Ku (não planejada);Brasileiro;operação comercial;17/04/2008;06/03/2033;SIM;-65
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C2;-65CX;65ºO;C (não planejada);Brasileiro;operação comercial;17/04/2008;31/12/2025;SIM;-65
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;-75CKu;75ºO;C (não planejada);Brasileiro;operação comercial;10/11/2012;30/04/2029;SIM;-75
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;-75CKu;75ºO;Ku (não planejada);Brasileiro;operação comercial;10/11/2012;30/04/2029;SIM;-75
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;-70Ku3030AKa;70ºO;Ku (AP30/30A);Brasileiro;operação comercial;15/07/2015;28/03/2027;NÃO;-70
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;-70Ku;70ºO;Ku (não planejada);Brasileiro;operação comercial;15/07/2015;13/11/2033;SIM;-70
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;-84C;84ºO;C (não planejada);Brasileiro;operação comercial;21/12/2016;31/12/2025;SIM;-84
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;-84KuKa;84ºO;Ka;Brasileiro;operação comercial;21/12/2016;06/02/2027;NÃO;-84
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;-84KuKa;84ºO;Ku (não planejada);Brasileiro;operação comercial;21/12/2016;06/02/2027;NÃO;-84
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;-70CX;70ºO;C (não planejada);Brasileiro;operação comercial;30/07/2021;31/12/2025;SIM;-70
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;-70Ku3030AKa;70ºO;Ka;Brasileiro;operação comercial;30/07/2021;27/03/2027;NÃO;-70
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;-70CX;70ºO;X;Brasileiro;operação comercial;30/07/2021;31/12/2025;SIM;-70
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;-70Ku;70ºO;Ku (não planejada);Brasileiro;operação comercial;30/07/2021;12/11/2033;SIM;-70
EUTELSAT DO BRASIL LTDA;EUTELSAT 65 West A;-65C30BKu30BKa;65ºO;Ka;Brasileiro;operação comercial;08/03/2016;05/06/2028;NÃO;-65
EUTELSAT DO BRASIL LTDA;EUTELSAT 65 West A;-65C30BKu30BKa;65ºO;Ku (AP30B);Brasileiro;operação comercial;08/03/2016;05/06/2028;NÃO;-65
EUTELSAT DO BRASIL LTDA;EUTELSAT 65 West A;-65C30BKu30BKa;65ºO;C (AP30B);Brasileiro;operação comercial;08/03/2016;05/06/2028;NÃO;-65
EUTELSAT S/A;EUTELSAT 3B;3CKu;3ºL;Ka;Estrangeiro;operação comercial;26/05/2014;24/10/2029;NÃO;3
EUTELSAT S/A;EUTELSAT 3B;3CKu;3ºL;C (não planejada);Estrangeiro;operação comercial;26/05/2014;24/10/2029;NÃO;3
EUTELSAT S/A;EUTELSAT 8 WEST B;-8CKu;8ºO;C (não planejada);Estrangeiro;operação comercial;20/08/2015;04/04/2023;SIM;-8
EUTELSAT S/A;EUTELSAT 8 WEST B;-8CKu;8ºO;Ku (não planejada);Estrangeiro;operação comercial;20/08/2015;04/04/2023;SIM;-8
GLOBALSTAR LICENSEE LLC;Sistema Globalstar;GLO-CSL;NGEO;S;Estrangeiro;operação comercial;a ser lançado;30/09/2024;NÃO;NGEO
GLOBALSTAR LICENSEE LLC;Sistema Globalstar;GLO-CSL;NGEO;L;Estrangeiro;operação comercial;a ser lançado;30/09/2024;NÃO;NGEO
GLOBALSTAR LICENSEE LLC;Sistema Globalstar;GLO-CSL;NGEO;C (não planejada);Estrangeiro;operação comercial;a ser lançado;30/09/2024;NÃO;NGEO
HISPAMAR SATELITES S.A.;AMAZONAS 2;-61KuKa;61ºO;Ku (não planejada);Brasileiro;operação comercial;01/10/2009;02/10/2030;SIM;-61
HISPAMAR SATELITES S.A.;AMAZONAS 3;-61C;61ºO;C (não planejada);Brasileiro;operação comercial;07/02/2013;31/12/2025;SIM;-61
