Código do Direito (Code);Posição Orbital (Orbital slot);Banda do satélite exercendo o direito (Satellite Band);Satélite (Satellite);Operadora (Operator);Tipo de Direito (Type of landing right);Status;Data de lançamento (Launch date);Validade (Validity);Direito prorrogado (Landing right postponed);posicao_orb_docs_portal_decimal
-107,3CKuX_2;107,3ºO;C (não planejada);ANIK G1;TELESAT CANADA;Estrangeiro;operação comercial;16/04/2013;31/03/2032;NÃO;-107,3
-107,3CKuX_2;107,3ºO;Ku (não planejada);ANIK G1;TELESAT CANADA;Estrangeiro;operação comercial;16/04/2013;31/03/2032;NÃO;-107,3
-107,3CKuX_2;107,3ºO;X;ANIK G1;TELESAT CANADA;Estrangeiro;operação comercial;16/04/2013;31/03/2032;NÃO;-107,3
-98L;98ºO;L;INMARSAT-4 F3;COMSAT, INC;Estrangeiro;operação comercial;18/08/2008;16/09/2025;NÃO;-98
-98L;98ºO;L;INMARSAT-4 F3;TELECOM ITÁLIA S.p.A.;Estrangeiro;operação comercial;18/08/2008;16/09/2025;NÃO;-98
-98L;98ºO;L;INMARSAT-4 F3;INMARSAT SOLUTIONS B.V.;Estrangeiro;operação comercial;18/08/2008;16/09/2025;NÃO;-98
-98L;98ºO;L;INMARSAT-4 F3;INMARSAT SOLUTIONS (CANADA) INC.;Estrangeiro;operação comercial;18/08/2008;16/09/2025;NÃO;-98
-98L;98ºO;L;INMARSAT-4 F3;MARLINK SAS;Estrangeiro;operação comercial;18/08/2008;16/09/2025;NÃO;-98
-98L;98ºO;L;INMARSAT-4 F3;MORSVIAZSPUTNIK;Estrangeiro;operação comercial;18/08/2008;16/09/2025;NÃO;-98
-95,2Ka;95,2ºO;Ka;JUPITER 3;HUGUES NETWORK SYSTEMS LLC;Estrangeiro;a ser lançado;a ser lançado;25/06/2035;NÃO;-95,2
-95Ku;95ºO;Ku (não planejada);IS-30;INTELSAT LICENSE LLC;Estrangeiro;operação comercial;16/10/2014;18/10/2026;NÃO;-95
