Código do Direito de Exploração (Code);Satélite (Satellite);Operadora (Operator);Representante Legal do Satélite no Brasil (Legal representative);Tipo de Direito (Type of landing right)
-3KuC;ABS-3A;ABS SINGAPORE SATELLITE PTE. LTD.;ABS BRASIL CAPACIDADE SATELITAL LTDA;Estrangeiro
-20Ka;AL YAH 3;HUGHES TELECOMUNICAÇÕES DO BRASIL LTDA.;HUGHES TELECOMUNICAÇÕES DO BRASIL LTDA.;Brasileiro
-61KuKa;AMAZONAS 2;HISPAMAR SATELITES S.A.;HISPAMAR SATELITES S.A.;Brasileiro
-61C30BKu30B;AMAZONAS 2 (E);HISPASAT S.A.;HISPAMAR SATELITES S.A.;Estrangeiro
-61KuKa;AMAZONAS 3;HISPAMAR SATELITES S.A.;HISPAMAR SATELITES S.A.;Brasileiro
-61C;AMAZONAS 3;HISPAMAR SATELITES S.A.;HISPAMAR SATELITES S.A.;Brasileiro
-61Ku3030A;AMAZONAS 5;HISPAMAR SATELITES S.A.;HISPAMAR SATELITES S.A.;Brasileiro
-61KuKa;AMAZONAS 5;HISPAMAR SATELITES S.A.;HISPAMAR SATELITES S.A.;Brasileiro
-107,3CKuX_2;ANIK G1;TELESAT CANADA;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Estrangeiro
-63Ku;Estrela do Sul 2;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Brasileiro
3CKu;EUTELSAT 3B;EUTELSAT S/A;EUTELSAT DO BRASIL LTDA;Estrangeiro
-8CKu;EUTELSAT 8 WEST B;EUTELSAT S/A;EUTELSAT DO BRASIL LTDA;Estrangeiro
-65Ku;EUTELSAT 65 West A;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Brasileiro
-65C30BKu30BKa;EUTELSAT 65 West A;EUTELSAT DO BRASIL LTDA;EUTELSAT DO BRASIL LTDA;Brasileiro
-14C;EXPRESS AM8;RUSSIAN SATELLITE COMMUNICATIONS COMPANY (RSCC);ROMANTIS BRASIL CAPACIDADE DE SATÉLITES LTDA.;Estrangeiro
-89CKU_2;GALAXY 28;INTELSAT LICENSE LLC;INTELSAT BRASIL LTDA;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;MACKAY MARINE DO BRASIL SERVICOS DE ELETRONICA NAVAL LTDA;Estrangeiro
-55Ka;Global Xpress;INMARSAT GLOBAL LIMITED;SATCOM DIRECT CAPACIDADE SATELITAL LTDA.;Estrangeiro
