Rede Brasileira;Órbita;Posição;Bandas;Disponibilidade do filing;Responsável;Status MIFR;Status BIU (entrada em operação UIT);Data de envio à UIT;Ano de envio à UIT
B-SAT-1Z;GEO;20ºW;Ka;Redes consignadas a operadores;HUGHES TELECOMUNICAÇÕES DO BRASIL LTDA.;Notificada;BIU Total;28/07/2015;2015
B-SAT-31.5W;GEO;31,5ºW;Ka,Q/V;Redes disponíveis (não consignadas);Rede não consignada a operador;Coordenando;PENDENTE;02/05/2018;2018
B-SAT-2N;GEO;84ºW;C,Ku,Ka;Redes consignadas a operadores;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Parcialmente Notif./Coord.;BIU Parcial (faixas pendentes);07/10/2009;2009
ALFACRUX;NGEO;NGEO;UHF;Redes consignadas a operadores;UnB - Universidade de Brasília;Notificada;BIU Total;19/05/2021;2021
B-SAT-1X;GEO;40,5°W;Ka,Q/V;Redes disponíveis (não consignadas);Rede não consignada a operador;Coordenando;PENDENTE;05/12/2017;2017
B-SAT-3A-2;GEO;44,9ºW;Ku (AP30-30A);Redes disponíveis (não consignadas);Rede não consignada a operador;Notificada;BIU Total;02/01/2012;2012
B-SAT-3A-2 TT&C;GEO;44,9ºW;Ku (AP30-30A);Redes disponíveis (não consignadas);Rede não consignada a operador;Notificada;BIU Total;02/01/2012;2012
B-SAT-3A-3 TT&C;GEO;45,1ºW;Ku (AP30-30A);Redes disponíveis (não consignadas);Rede não consignada a operador;Coordenando;PENDENTE;12/09/2013;2013
B-SAT-1A-3;GEO;45ºW;S;Redes disponíveis (não consignadas);Rede não consignada a operador;Coordenando;PENDENTE;29/06/2016;2016
B-SAT-1A-2;GEO;45ºW;Ka;Redes disponíveis (não consignadas);Rede não consignada a operador;Coordenando;PENDENTE;29/06/2016;2016
B-SAT-3B-1 TTC;GEO;74ºW;Ku (AP30-30A);Redes consignadas a operadores;HISPAMAR SATÉLITES S.A.;Coordenando;PENDENTE;15/07/2015;2015
B-SAT-78W;GEO;78ºW;Ka,Q/V;Redes disponíveis (não consignadas);Rede não consignada a operador;Coordenando;PENDENTE;03/05/2018;2018
B-SAT-1W-2;GEO;47,5ºW;C,Ku,Ka;Redes consignadas a operadores;SES DTH DO BRASIL LTDA.;Notificada;BIU Total;23/06/2014;2014
B-SAT-1W;GEO;48ºW;C,Ku;Redes consignadas a operadores;SES DTH DO BRASIL LTDA.;Notificada;BIU Total;01/06/2006;2006
B-SAT-1N-1;GEO;84ºW;Ka;Redes consignadas a operadores;EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;Parcialmente Notif./Coord.;BIU Parcial (faixas pendentes);07/10/2011;2011
UBATUBASAT;NGEO;NGEO;UHF;Redes consignadas a operadores;INPE - Instituto Nacional de Pesquisas Espaciais;Coordenando;PENDENTE;03/03/2015;2015
B-SAT-53W;GEO;53ºW;Ka,Q/V;Redes disponíveis (não consignadas);Rede não consignada a operador;Coordenando;PENDENTE;03/05/2018;2018
WORMSAIL;NGEO;NGEO;UHF;Redes consignadas a operadores;UnB - Universidade de Brasília;Coordenando;PENDENTE;08/12/2020;2020
B 00022;GEO;56,5ºW;C (AP30B),Ku (AP30B);Redes disponíveis (não consignadas);Rede não consignada a operador;Coordenando;PENDENTE;12/11/2012;2012
B-SAT-1V;GEO;57ºW;Ka,Q/V;Redes consignadas a operadores;TELECOMUNICAÇÕES SA TELEBRÁS;Coordenando;PENDENTE;27/09/2017;2017
SPORT-1;NGEO;NGEO;VHF,UHF;Redes consignadas a operadores;ITA - Instituto Tecnológico de Aeronáutica;Coordenando;PENDENTE;04/03/2020;2020
